Source_ID,Target_ID
0,1
0,2
1,3
0,4
4,5
1,6
1,7
7,8
5,9
0,10
5,11
7,12
0,13
3,14
9,15
9,16
5,17
11,18
2,19
8,20
15,21
17,22
0,23
9,24
18,25
8,26
12,27
10,28
19,29
22,30
27,31
30,32
28,33
13,34
32,35
22,36
27,37
32,38
11,39
29,40
37,41
20,42
20,43
1,44
15,45
28,46
46,47
8,48
47,49
12,50
27,51
15,52
13,53
15,54
10,55
6,56
8,57
40,58
21,59
42,60
1,61
57,62
7,63
9,64
49,65
3,66
3,67
11,68
17,69
51,70
36,71
29,72
54,73
45,74
29,75
41,76
2,77
50,78
54,79
56,80
80,81
15,82
72,83
45,84
15,85
41,86
50,87
27,88
39,89
66,90
38,91
39,92
5,93
37,94
76,95
71,96
47,97
12,98
55,99
82,100
26,101
67,102
33,103
82,104
17,105
53,106
106,107
48,108
6,109
94,110
98,111
76,112
25,113
86,114
55,115
0,116
2,117
66,118
108,119
4,120
62,121
38,122
72,123
100,124
110,125
81,126
24,127
114,128
38,129
68,130
44,131
31,132
17,133
47,134
3,135
48,136
42,137
78,138
87,139
81,140
131,141
64,142
11,143
93,144
40,145
89,146
117,147
4,148
139,149
28,150
149,151
59,152
25,153
11,154
60,155
44,156
54,157
56,158
39,159
80,160
101,161
71,162
117,163
109,164
107,165
134,166
59,167
154,168
105,169
57,170
126,171
67,172
167,173
74,174
116,175
94,176
41,177
87,178
77,179
164,180
0,181
180,182
95,183
139,184
48,185
129,186
59,187
17,188
4,189
100,190
0,191
13,192
182,193
154,194
166,195
48,196
75,197
36,198
83,199
168,200
51,201
113,202
174,203
196,204
163,205
0,206
121,207
66,208
62,209
105,210
115,211
158,212
110,213
207,214
29,215
194,216
98,217
113,218
51,219
180,220
62,221
19,222
163,223
196,224
119,225
20,226
77,227
11,228
189,229
198,230
162,231
200,232
137,233
85,234
64,235
70,236
144,237
13,238
192,239
183,240
100,241
44,242
169,243
36,244
177,245
164,246
77,247
106,248
22,249
80,250
168,251
33,252
219,253
169,254
11,255
125,256
248,257
174,258
181,259
41,260
257,261
114,262
255,263
51,264
216,265
35,266
66,267
86,268
109,269
187,270
51,271
166,272
56,273
242,274
83,275
229,276
9,277
46,278
45,279
2,280
26,281
67,282
153,283
208,284
282,285
68,286
73,287
172,288
78,289
19,290
112,291
220,292
207,293
107,294
165,295
138,296
15,297
68,298
108,299
263,300
124,301
71,302
147,303
115,304
38,305
158,306
68,307
33,308
191,309
87,310
308,311
71,312
103,313
83,314
148,315
173,316
79,317
252,318
137,319
231,320
190,321
239,322
107,323
312,324
245,325
74,326
251,327
167,328
4,329
158,330
12,331
70,332
264,333
16,334
84,335
45,336
310,337
189,338
321,339
266,340
91,341
322,342
177,343
75,344
288,345
100,346
303,347
199,348
151,349
8,350
153,351
272,352
211,353
194,354
139,355
101,356
74,357
34,358
357,359
349,360
359,361
4,362
255,363
355,364
159,365
107,366
317,367
108,368
16,369
141,370
22,371
148,372
73,373
152,374
64,375
199,376
299,377
149,378
185,379
43,380
350,381
197,382
8,383
18,384
328,385
347,386
76,387
181,388
176,389
236,390
100,391
243,392
194,393
18,394
221,395
161,396
118,397
87,398
289,399
318,400
347,401
1,402
229,403
401,404
291,405
291,406
314,407
83,408
222,409
324,410
232,411
159,412
255,413
401,414
397,415
303,416
360,417
364,418
339,419
239,420
195,421
179,422
394,423
227,424
239,425
311,426
33,427
202,428
304,429
229,430
73,431
280,432
284,433
230,434
166,435
194,436
434,437
216,438
177,439
138,440
0,441
406,442
114,443
158,444
152,445
425,446
209,447
158,448
321,449
192,450
417,451
36,452
67,453
380,454
196,455
43,456
17,457
374,458
108,459
309,460
99,461
279,462
191,463
4,464
415,465
138,466
456,467
70,468
215,469
50,470
133,471
350,472
463,473
452,474
21,475
23,476
445,477
354,478
387,479
151,480
315,481
67,482
310,483
58,484
130,485
150,486
224,487
159,488
467,489
300,490
416,491
310,492
144,493
198,494
39,495
174,496
337,497
382,498
476,499
192,500
58,501
81,502
290,503
289,504
448,505
321,506
369,507
183,508
85,509
505,510
429,511
107,512
230,513
229,514
384,515
41,516
205,517
246,518
298,519
17,520
110,521
208,522
351,523
36,524
487,525
22,526
195,527
491,528
258,529
243,530
455,531
501,532
422,533
187,534
258,535
166,536
126,537
353,538
351,539
367,540
220,541
460,542
231,543
240,544
134,545
161,546
23,547
493,548
405,549
316,550
68,551
6,552
458,553
446,554
2,555
401,556
137,557
154,558
250,559
69,560
284,561
336,562
300,563
531,564
352,565
198,566
307,567
31,568
207,569
32,570
395,571
272,572
454,573
152,574
103,575
177,576
513,577
332,578
545,579
465,580
156,581
54,582
301,583
486,584
433,585
73,586
582,587
464,588
430,589
499,590
182,591
9,592
549,593
118,594
356,595
275,596
396,597
224,598
317,599
43,600
169,601
465,602
447,603
325,604
448,605
520,606
417,607
577,608
394,609
287,610
527,611
236,612
236,613
257,614
263,615
249,616
28,617
6,618
440,619
613,620
554,621
144,622
547,623
41,624
421,625
224,626
505,627
421,628
203,629
464,630
606,631
138,632
93,633
611,634
331,635
481,636
225,637
490,638
115,639
601,640
2,641
139,642
396,643
33,644
418,645
284,646
646,647
430,648
548,649
211,650
545,651
144,652
357,653
337,654
624,655
381,656
430,657
156,658
445,659
131,660
46,661
322,662
527,663
328,664
305,665
585,666
341,667
413,668
453,669
498,670
302,671
561,672
270,673
480,674
201,675
459,676
167,677
33,678
187,679
295,680
92,681
23,682
356,683
516,684
502,685
596,686
193,687
66,688
267,689
234,690
322,691
314,692
39,693
20,694
547,695
306,696
312,697
217,698
532,699
585,700
218,701
685,702
611,703
45,704
262,705
359,706
145,707
185,708
143,709
138,710
297,711
613,712
197,713
279,714
156,715
608,716
137,717
53,718
264,719
649,720
28,721
416,722
135,723
2,724
594,725
148,726
630,727
687,728
105,729
215,730
506,731
726,732
427,733
103,734
47,735
279,736
231,737
235,738
23,739
388,740
706,741
649,742
364,743
151,744
258,745
369,746
564,747
377,748
589,749
377,750
512,751
106,752
175,753
404,754
699,755
522,756
666,757
264,758
675,759
312,760
209,761
170,762
678,763
165,764
92,765
576,766
618,767
8,768
688,769
509,770
702,771
503,772
161,773
553,774
417,775
4,776
128,777
301,778
166,779
146,780
275,781
742,782
364,783
510,784
48,785
335,786
569,787
468,788
546,789
84,790
406,791
456,792
313,793
147,794
792,795
584,796
768,797
241,798
404,799
778,800
218,801
89,802
309,803
323,804
104,805
446,806
49,807
33,808
154,809
154,810
522,811
57,812
485,813
465,814
484,815
312,816
594,817
330,818
259,819
169,820
85,821
655,822
233,823
476,824
265,825
819,826
254,827
317,828
352,829
170,830
722,831
64,832
361,833
251,834
765,835
577,836
134,837
661,838
658,839
720,840
833,841
722,842
299,843
816,844
38,845
220,846
1,847
380,848
128,849
552,850
199,851
698,852
804,853
622,854
720,855
589,856
714,857
91,858
330,859
466,860
310,861
431,862
549,863
107,864
630,865
438,866
69,867
126,868
435,869
306,870
811,871
750,872
460,873
